Wall time,Step,Value
1624388945.829421,0,0.3965827524662018
1624391902.371805,1,0.5269352793693542
1624394889.281662,2,0.6190333366394043
1624397814.557889,3,0.6807651519775391
1624400544.095008,4,0.7185966372489929
1624403294.499224,5,0.7422844171524048
1624405973.377689,6,0.7580231428146362
1624408639.736032,7,0.7691649198532104
1624411307.384599,8,0.7773467898368835
1624413974.687492,9,0.783678412437439
1624416642.838402,10,0.7885913252830505
1624419309.957458,11,0.7925824522972107
1624421976.430424,12,0.7958477139472961
1624424643.722315,13,0.7985939383506775
1624427310.916649,14,0.8009748458862305
