user,54674
der,50240
ich,23575
und,14332
sein,13590
in,9562
sich,9063
mein,7237
fuer,6779
nicht,6441
einen,6343
zu,6237
mit,5921
haben,5711
werden,4636
auch,4431
von,4382
im,4046
auf,3512
dass,3330
amp,3008
bei,2767
als,2681
an,2652
Ich,2641
aber,2539
gut,2539
so,2295
um,2222
kein,2204
viel,2086
gehen,1971
ueber,1935
aus,1912
noch,1882
dies,1855
CDU,1770
wie,1683
machen,1666
einer,1631
nur,1611
Dank,1576
zum,1552
ein,1510
zur,1510
können,1474
all,1462
mehr,1398
wollen,1380
alle,1356
geben,1350
muss,1334
da,1334
muessen,1308
vor,1304
heute,1296
sollen,1276
man,1275
nach,1247
Bundestag,1229
Deutschland,1227
mal,1190
oder,1160
habe,1152
the,1129
Jahr,1120
wenn,1115
gegen,1105
sehr,1099
ja,1098
was,1093
schon,1028
Mensch,1016
ander,1014
dann,1003
SPD,991
koennen,980
weit,955
a,940
jetzt,922
am,916
Mit,912
stehen,910
Thema,874
jed,873
wieder,870
to,862
doch,859
immer,848
Heute,843
wichtig,840
AfD,834
meinen,798
kommen,792
brauchen,777
2,777
Europa,759
Frage,751
s,749
Wenn,742
durch,734
In,733
hier,724
beim,724
bleiben,724
EU,706
sondern,700
damit,698
Berlin,687
Partei,679
deshalb,665
sagen,658
sehen,656
gemeinsam,649
klaren,649
Corona,645
1,645
of,641
finden,639
Land,627
Tag,615
Was,612
Union,606
Zeit,601
Ein,600
zeigen,578
dazu,577
tun,564
ganz,557
and,552
sprechen,548
freuen,544
ohne,544
Demokratie,542
Auch,527
neu,523
Wer,512
richtig,511
denn,509
Fuer,507
Politik,505
3,498
bis,494
erst,493
waere,483
dabei,478
Arbeit,472
Glueckwunsch,463
ab,458
nichts,456
wenig,452
dafuer,448
stark,447
Gespraech,446
einfach,444
Tweet,443
Zukunft,438
gerne,437
unter,430
vom,428
Wie,427
5,423
Herzliche,421
Im,415
Gute,414
is,411
selbst,411
etwas,411
Frau,406
for,405
Bei,405
Wirecard,405
nehmen,404
stellen,404
ob,400
China,399
gerade,397
Eine,395
Sicherheit,394
statt,393
Wahl,391
Debatte,385
Uhr,385
weil,385
entscheiden,383
lieb,382
Wirtschaft,380
USA,375
Woche,374
schaffen,369
politisch,361
neue,360
wo,359
Jetzt,356
wohl,356
Problem,355
Hier,354
gelten,353
nun,351
dürfen,351
seit,346
Weg,342
deutlich,342
falsch,342
Verantwortung,341
welch,338
lassen,334
helfen,334
Essen,333
Auf,330
Pandemie,329
Erfolg,328
letzt,326
Entscheidung,324
Merkel,323
diskutieren,320
Kollege,319
setzen,319
beid,319
liegen,317
Ziel,317
deutsch,317
Heimat,316
Welt,315
wuerde,313
also,307
Dann,303
Diskussion,302
CSU,299
sichern,296
leider,293
gar,292
via,292
Nach,291
000,289
noAfD,288
Meinung,284
Leben,281
duerfen,280
Abend,279
bringen,279
Duesseldorf,279
Ergebnis,278
FDP,278
wirklich,278
aktuell,276
Staat,274
Gesellschaft,273
Gut,273
Antwort,273
eben,272
4,271
schnellen,271
nan,270
Twitter,270
warum,269
Rede,267
klar,267
Mitglied,267
genau,264
lesen,262
Nicht,261
Sehr,261
nie,261
wissen,258
Ort,256
Gruenen,255
halten,255
arbeiten,254
Zusammenarbeit,253
Klimaschutz,252
Ja,251
Recht,250
uebrigens,250
gehoert,249
Regierung,249
u,249
soll,248
natuerlich,247
Idee,246
kennen,245
NRW,244
eigentlich,244
haette,244
zwei,242
Mio,242
Krise,240
Wert,238
Unternehmen,237
Freiheit,237
Teil,236
Mitte,235
Nur,234
grosse,233
wuensche,233
digital,232
toll,229
Tweets,229
Herr,228
Nein,228
verstehen,227
fragen,227
denken,225
einmal,225
fordern,225
wer,225
Austausch,224
Russland,224
Trump,224
Fraktion,223
Ende,223
eigen,222
Meine,221
Diese,221
moeglich,221
