token,count,rank
user,16678,1
der,16261,2
ich,5858,3
und,4700,4
sein,4638,5
sich,2731,6
in,2597,7
einen,2339,8
nicht,2141,9
fuer,2044,10
mein,2022,11
zu,1703,12
werden,1592,13
mit,1431,14
haben,1421,15
auch,1408,16
von,1402,17
im,1167,18
auf,1027,19
dass,1021,20
so,914,21
an,881,22
aber,841,23
Ich,786,24
gut,783,25
bei,769,26
als,674,27
kein,649,28
noch,630,29
dies,605,30
gehen,586,31
Dank,585,32
man,566,33
viel,561,34
können,551,35
amp,539,36
einer,538,37
nur,537,38
um,535,39
wie,534,40
aus,524,41
mehr,524,42
alle,483,43
ein,478,44
muss,469,45
zum,448,46
ueber,439,47
machen,435,48
jetzt,431,49
wenn,414,50
zur,410,51
all,409,52
geben,403,53
da,393,54
heute,391,55
vor,381,56
wollen,380,57
schon,376,58
doch,372,59
muessen,363,60
mal,352,61
nach,351,62
Jahr,348,63
Deutschland,345,64
sollen,341,65
wichtig,335,66
oder,332,67
was,326,68
immer,325,69
brauchen,315,70
ja,315,71
CSU,310,72
Bundestag,300,73
am,298,74
weit,284,75
sehr,282,76
dann,281,77
Europa,279,78
Corona,276,79
kommen,275,80
gegen,273,81
Mensch,264,82
stehen,260,83
Bayer,259,84
Du,253,85
Glueckwunsch,252,86
s,251,87
wieder,250,88
meinen,249,89
ander,246,90
EU,243,91
zeigen,242,92
Ein,239,93
koennen,237,94
bleiben,236,95
Tag,236,96
habe,232,97
sagen,226,98
sondern,224,99
durch,222,100
richtig,222,101
hier,221,102
In,221,103
Heute,216,104
jed,216,105
lieb,214,106
RT,214,107
Bundeswehr,212,108
Frage,207,109
damit,203,110
Land,200,111
Mit,200,112
waere,199,113
gerade,196,114
klaren,195,115
Thema,194,116
finden,191,117
beim,191,118
Herzliche,189,119
Berlin,188,120
Wer,188,121
Auch,188,122
ganz,186,123
2,184,124
Wenn,182,125
Zeit,172,126
1,170,127
SPD,169,128
AfD,169,129
neu,169,130
freuen,168,131
Eine,165,132
dürfen,165,133
Kind,161,134
erst,157,135
Frau,157,136
einfach,156,137
nan,156,138
vom,153,139
tun,153,140
Gute,151,141
ohne,150,142
gemeinsam,149,143
stark,149,144
Was,147,145
unter,147,146
Demokratie,146,147
dafuer,145,148
Fuer,145,149
Verantwortung,141,150
stellen,139,151
sehen,139,152
neue,137,153
denn,134,154
wuerde,133,155
bis,132,156
gelten,132,157
ob,132,158
nichts,132,159
Politik,129,160
