token,count,rank
user,16678,1
der,4483,2
und,4278,3
die,4275,4
ist,2873,5
in,2597,6
nicht,2141,7
fuer,2044,8
zu,1662,9
das,1632,10
den,1490,11
mit,1431,12
auch,1408,13
von,1402,14
es,1310,15
Die,1229,16
ein,1171,17
im,1167,18
eine,1161,19
ich,1130,20
Das,1059,21
auf,1027,22
dass,979,23
wir,947,24
an,849,25
sich,833,26
des,825,27
Ich,786,28
bei,769,29
sind,752,30
hat,741,31
so,714,32
Wir,701,33
werden,677,34
wird,636,35
noch,630,36
als,621,37
dem,613,38
aber,599,39
man,566,40
amp,539,41
Es,538,42
nur,537,43
wie,534,44
aus,524,45
mehr,524,46
um,511,47
haben,510,48
Der,487,49
mich,484,50
muss,469,51
kann,467,52
zum,448,53
geht,446,54
ueber,439,55
jetzt,431,56
Und,422,57
wenn,414,58
zur,410,59
uns,410,60
sie,409,61
heute,391,62
sein,387,63
Danke,381,64
vor,381,65
war,381,66
einen,379,67
schon,376,68
muessen,363,69
mal,352,70
nach,351,71
doch,348,72
oder,332,73
was,326,74
immer,325,75
Deutschland,318,76
ja,315,77
CSU,310,78
einer,306,79
am,298,80
Sie,296,81
mir,286,82
sehr,282,83
dann,281,84
Corona,276,85
gegen,273,86
alle,272,87
gut,264,88
keine,264,89
Bundestag,260,90
er,260,91
Europa,255,92
unsere,255,93
Du,253,94
Glueckwunsch,252,95
gibt,251,96
s,251,97
wieder,250,98
Bayern,249,99
EU,243,100
Aber,242,101
Menschen,241,102
Ein,239,103
koennen,237,104
habe,232,105
sondern,224,106
durch,222,107
hier,221,108
In,221,109
brauchen,220,110
einem,219,111
da,218,112
Heute,216,113
RT,214,114
Bundeswehr,212,115
diese,205,116
Dank,203,117
So,200,118
Mit,200,119
waere,199,120
kein,198,121
gerade,196,122
viel,194,123
beim,191,124
Wer,188,125
Auch,188,126
wollen,187,127
gute,185,128
Berlin,185,129
2,184,130
Herzlichen,184,131
Wenn,182,132
machen,181,133
bin,180,134
sollte,178,135
Da,175,136
weiter,170,137
1,170,138
richtig,170,139
SPD,169,140
AfD,169,141
alles,166,142
Land,165,143
Eine,165,144
zeigt,163,145
unserer,162,146
viele,158,147
nan,156,148
Tag,155,149
ganz,154,150
damit,153,151
vom,153,152
wurde,152,153
Ihr,152,154
Gute,151,155
macht,150,156
meine,148,157
will,147,158
einfach,147,159
Was,147,160
unter,146,161
dafuer,145,162
Fuer,145,163
Frage,145,164
Verantwortung,141,165
Demokratie,140,166
klar,140,167
kommt,140,168
darf,140,169
neue,137,170
steht,135,171
wuerde,133,172
Thema,132,173
nichts,132,174
wichtig,131,175
Politik,129,176
lieber,128,177
bleibt,127,178
dieser,125,179
gar,124,180
besser,123,181
unser,122,182
Zeit,120,183
ob,120,184
Jahren,120,185
3,119,186
dabei,119,187
Jetzt,119,188
dazu,119,189
denn,119,190
Klimaschutz,118,191
Liebe,118,192
Kinder,117,193
Wie,112,194
nie,112,195
ohne,112,196
Jahr,111,197
selbst,110,198
bis,109,199
gilt,109,200
eigentlich,109,201
CDU,108,202
Jahre,108,203
Bei,108,204
