user,79221
und,24605
die,23851
der,21323
in,14992
ist,13072
nicht,12101
fuer,10631
das,10197
zu,9764
den,8361
mit,7873
von,7482
wir,7057
auch,6844
es,6762
ich,6505
Die,5909
ein,5764
Das,5567
im,5465
auf,5461
eine,5276
Ich,5128
dass,4936
sind,4424
sich,4352
werden,4326
Wir,4031
an,3970
hat,3886
aber,3812
bei,3729
haben,3611
als,3605
wird,3157
dem,3154
wie,3139
so,3107
nur,3106
noch,3089
des,3084
amp,2989
sie,2974
Es,2853
uns,2815
man,2799
aus,2685
um,2674
mehr,2652
muss,2601
kann,2592
ueber,2486
muessen,2381
oder,2296
Der,2272
jetzt,2255
Und,2249
nach,2183
einen,2141
wenn,2063
mich,2030
was,2030
vor,2016
zur,2010
sein,1983
keine,1972
SPD,1962
schon,1951
Danke,1938
Du,1922
Menschen,1916
gegen,1883
2,1880
zum,1875
geht,1838
sehr,1834
mal,1832
heute,1829
habe,1814
alle,1787
Sie,1787
gibt,1743
ja,1737
1,1701
dann,1678
war,1659
wieder,1589
the,1567
einer,1556
koennen,1555
Wenn,1528
Europa,1522
durch,1510
er,1497
EU,1472
Deutschland,1450
immer,1433
In,1417
viel,1415
Aber,1395
da,1383
mir,1375
to,1361
hier,1337
am,1318
Was,1282
machen,1250
viele,1248
waere,1223
s,1216
sondern,1207
AfD,1166
of,1151
unsere,1141
Auch,1140
doch,1139
gut,1135
diese,1115
3,1099
bin,1097
ohne,1067
will,1058
weil,1042
wollen,1032
Ein,988
einem,980
and,980
kein,941
brauchen,930
Heute,919
Mit,896
beim,879
andere,864
ganz,862
dafuer,862
wuerde,857
a,857
for,848
Tag,843
Bundestag,834
weiter,826
dazu,824
Da,823
Jahren,823
Kinder,822
Demokratie,813
damit,813
Wer,808
sollte,805
Politik,802
Zeit,791
ihre,784
macht,780
Fuer,773
kommt,769
Wie,760
gute,759
ihr,755
dieser,744
Eine,737
So,736
nichts,736
anderen,735
Arbeit,734
denn,730
zeigt,730
CDU,729
unserer,729
tun,718
Jetzt,704
alles,698
klar,694
wurde,692
vom,682
gar,681
selbst,678
bis,675
Corona,661
allen,659
Im,655
ab,646
Land,642
Berlin,635
besser,628
Bei,622
4,621
koennte,619
darf,612
Covid,612
gerade,608
Zukunft,605
Glueckwunsch,603
5,594
Hier,593
sollten,587
steht,586
meine,584
bleibt,578
dabei,575
vielen,570
soll,569
Er,569
kommen,567
neue,561
Euch,561
unter,556
Weg,555
Studie,554
Ihr,546
richtig,545
wohl,538
wo,533
ob,533
diesen,533
Ja,531
Gesellschaft,530
on,525
Morgen,524
braucht,517
bleiben,517
haette,512
Frage,510
einfach,508
duerfen,508
gemacht,507
stehen,505
seit,492
Welt,489
lassen,486
Gute,486
Leben,482
Woche,482
sagen,482
with,481
Union,479
lieber,479
unser,476
Jahre,475
Diese,475
seine,473
gemeinsam,472
innen,471
gerne,471
gehen,470
oft,470
nie,465
Meine,465
Schulen,465
meiner,462
keinen,460
Ende,460
Dir,460
zB,457
etwas,457
Thema,456
Jahr,454
leider,453
Nicht,453
also,452
gilt,451
Solidaritaet,449
endlich,445
Wochen,445
Frauen,444
Dank,444
waren,442
Unterstuetzung,441
geben,437
Recht,430
Partei,429
is,429
wichtig,424
diesem,422
10,420
Nein,418
lange,418
erst,415
eines,415
wirklich,413
davon,410
weniger,410
sicher,408
Auf,406
Ist,405
Sicherheit,399
Leute,398
finde,398
Daher,398
Debatte,395
Welle,394
Daten,394
moeglich,392
GroKo,392
Pandemie,391
dieses,391
Weil,390
zeigen,390
u,387
genau,386
Lage,386
weiss,379
reden,379
unseren,378
besonders,378
Problem,378
sogar,377
Einkommen,375
Dann,374
19,374
Impfung,372
deutlich,371
Fall,369
Freiheit,367
000,367
ihrer,365
ihn,364
falsch,364
wenig,364
nun,363
Respekt,362
USA,361
natuerlich,360
Dazu,360
stark,360
nan,356
jeden,355
Fragen,350
Man,348
allem,348
wissen,347
ihren,347
Staat,347
bitte,347
Rede,346
Euro,345
Verantwortung,345
Mein,344
Lockdown,344
gesagt,343
Am,342
I,342
liegt,341
our,340
Nur,339
Regierung,339
hatte,339
fast,338
Trump,337
Krise,336
Hass,334
sagt,333
Interview,333
Bildung,332
CSU,329
helfen,329
neuen,328
Sehr,328
Dass,328
Klimaschutz,327
Uhr,326
grosse,326
sehen,325
ins,323
zwischen,323
FDP,323
hab,322
100,322
halten,321
jeder,319
wer,318
statt,318
mein,316
freue,316
gehoert,315
schnell,313
Geld,311
arbeiten,311
Impfstoff,309
Deshalb,308
Erfolg,307
Abend,307
naechsten,306
anders,304
wegen,304
Hamburg,304
darauf,302
all,302
kaum,301
eigentlich,301
wuerden,301
Rassismus,300
Bin,299
Gewalt,298
dort,297
Warum,296
20,295
aller,295
Antwort,294
Dafuer,294
Kampf,294
Datenschutz,294
denen,292
Haltung,291
darueber,291
meinem,290
Laender,289
Damit,289
Twitter,288
50,288
Eltern,287
seiner,285
Unsere,284
Schutz,284
Buerger,284
stimmt,282
gesprochen,282
Herzlichen,282
Europe,282
Merkel,281
Zeiten,280
bekommen,280
letzten,277
verhindern,276
Wahl,276
Bevoelkerung,276
bisher,275
Gesetz,274
Meinung,273
30,272
jede,272
Seehofer,272
Alles,271
Massnahmen,271
weitere,271
ne,270
du,270
zusammen,269
Dich,268
Gespraech,267
Zusammenarbeit,267
hast,265
wahrscheinlich,265
Guten,265
KampmannRoth,265
Teil,264
sonst,264
setzen,262
gleich,262
Zusammenhalt,261
heisst,261
Grundrente,261
dagegen,260
wurden,259
daran,258
leben,258
UK,257
Team,256
Loesung,256
zwar,256
meinen,255
Als,255
bringen,254
6,254
Seite,254
Parlament,253
sei,253
eher,253
