token,count,rank
der,485462,1
user,375508,2
ich,190012,3
und,131085,4
sein,127829,5
in,81766,6
sich,75311,7
nicht,66456,8
einen,64073,9
fuer,60964,10
mein,56275,11
zu,56071,12
haben,50657,13
werden,48466,14
von,48130,15
mit,45518,16
auch,36588,17
auf,34782,18
im,34774,19
dass,31030,20
aber,27516,21
an,25267,22
amp,23803,23
so,23669,24
bei,23487,25
als,22123,26
kein,21904,27
Ich,20417,28
dies,18676,29
noch,18273,30
um,18016,31
wie,17907,32
aus,17045,33
gut,16935,34
AfD,16816,35
nur,16514,36
viel,16236,37
einer,16199,38
gehen,16007,39
mehr,15395,40
ueber,15323,41
wollen,15320,42
muss,15291,43
ein,15245,44
man,15095,45
machen,14852,46
geben,14390,47
können,14343,48
zum,13232,49
da,12983,50
all,12798,51
vor,12795,52
zur,12417,53
Bundestag,12211,54
gegen,12168,55
nach,12095,56
alle,11700,57
Dank,11623,58
wenn,11609,59
was,11448,60
jetzt,11389,61
oder,11355,62
Jahr,11247,63
mal,10752,64
ja,10654,65
sollen,10616,66
schon,10306,67
Mensch,10291,68
TB,10174,69
Deutschland,9820,70
muessen,9750,71
heute,9671,72
dann,9147,73
weit,9061,74
brauchen,9016,75
ander,8877,76
immer,8644,77
doch,8604,78
am,8577,79
CDU,8446,80
hier,8285,81
kommen,8129,82
sagen,8129,83
wieder,8122,84
2,8002,85
SPD,7993,86
Was,7856,87
jed,7512,88
Wenn,7512,89
habe,7269,90
koennen,7266,91
1,7242,92
Berlin,7118,93
meinen,7016,94
durch,6969,95
sehr,6963,96
Bundesregierung,6913,97
s,6831,98
In,6770,99
sondern,6627,100
Frage,6627,101
stehen,6609,102
Wer,6328,103
Corona,6272,104
Ein,6244,105
EU,5980,106
Zeit,5828,107
damit,5813,108
beim,5773,109
waere,5725,110
sehen,5600,111
finden,5565,112
tun,5562,113
bleiben,5494,114
ganz,5471,115
denn,5467,116
ohne,5386,117
Wie,5348,118
Politik,5272,119
Tag,5232,120
warum,5203,121
Heute,5124,122
Frau,5038,123
Demokratie,5027,124
seit,5016,125
wenig,4997,126
zeigen,4993,127
u,4913,128
Merkel,4886,129
wichtig,4857,130
the,4844,131
nichts,4828,132
Thema,4752,133
Land,4748,134
Partei,4747,135
bis,4741,136
CSU,4729,137
3,4714,138
statt,4655,139
Mit,4623,140
endlich,4612,141
Europa,4610,142
dürfen,4582,143
a,4550,144
Recht,4547,145
FDP,4547,146
gerade,4499,147
einfach,4498,148
dazu,4440,149
ab,4426,150
klaren,4383,151
wo,4346,152
neu,4304,153
Auch,4286,154
dafuer,4284,155
ob,4277,156
vom,4219,157
erst,4205,158
Problem,4187,159
Ja,4184,160
weil,4151,161
fordern,4109,162
Kind,4108,163
Fuer,4021,164
lieb,4018,165
soll,4016,166
unter,3994,167
Eine,3889,168
selbst,3851,169
sprechen,3827,170
stellen,3810,171
Jetzt,3770,172
Glueckwunsch,3711,173
nun,3702,174
deutsch,3638,175
GroKo,3630,176
neue,3620,177
innen,3560,178
richtig,3505,179
Hier,3474,180
lassen,3459,181
Regierung,3426,182
Klimaschutz,3416,183
nehmen,3413,184
welch,3390,185
Debatte,3355,186
Im,3354,187
politisch,3340,188
wuerde,3333,189
etwas,3329,190
to,3312,191
deshalb,3310,192
5,3305,193
Gruenen,3275,194
Nein,3218,195
wer,3180,196
gar,3148,197
Union,3128,198
Woche,3087,199
eigentlich,3066,200
gemeinsam,3050,201
freuen,3030,202
Arbeit,3027,203
genau,2999,204
nan,2956,205
Bei,2950,206
Ende,2941,207
wohl,2939,208
Rede,2938,209
dabei,2936,210
Euro,2917,211
of,2906,212
setzen,2902,213
