token,count,rank
user,375508,1
die,136506,2
der,127647,3
und,117466,4
in,81766,5
ist,76390,6
nicht,66456,7
fuer,60964,8
zu,54851,9
das,53652,10
von,48130,11
den,46127,12
mit,45518,13
es,39494,14
auch,36588,15
auf,34782,16
im,34774,17
Die,33924,18
ein,33513,19
eine,30361,20
ich,30239,21
sich,29505,22
dass,29003,23
wir,28606,24
Das,27624,25
hat,25000,26
an,24477,27
amp,23803,28
bei,23487,29
sind,23384,30
Sie,22188,31
des,21065,32
als,20579,33
werden,20554,34
dem,20468,35
Ich,20417,36
haben,19791,37
wird,18368,38
noch,18273,39
so,18188,40
aber,18135,41
Wir,17989,42
wie,17907,43
aus,17045,44
um,16971,45
AfD,16816,46
nur,16514,47
sie,16152,48
Es,15552,49
mehr,15395,50
ueber,15323,51
muss,15291,52
man,15095,53
Und,13619,54
Der,13441,55
zum,13232,56
vor,12795,57
einen,12642,58
zur,12417,59
gegen,12168,60
nach,12095,61
uns,12020,62
kann,11970,63
wenn,11609,64
was,11448,65
geht,11410,66
jetzt,11389,67
oder,11355,68
Bundestag,11037,69
sein,10931,70
mal,10752,71
war,10672,72
ja,10654,73
schon,10306,74
TB,10174,75
mich,10123,76
keine,9983,77
muessen,9750,78
heute,9671,79
Menschen,9584,80
Aber,9381,81
gibt,9365,82
einer,9247,83
dann,9147,84
er,9121,85
Deutschland,9072,86
alle,8765,87
Danke,8652,88
immer,8644,89
am,8577,90
CDU,8446,91
hier,8285,92
wieder,8122,93
2,8002,94
SPD,7993,95
Was,7856,96
da,7848,97
Wenn,7512,98
doch,7493,99
habe,7269,100
koennen,7266,101
1,7242,102
mir,7229,103
Berlin,7022,104
durch,6969,105
sehr,6963,106
Bundesregierung,6913,107
will,6894,108
s,6831,109
machen,6798,110
In,6770,111
sondern,6618,112
einem,6538,113
Wer,6328,114
Corona,6272,115
Ein,6244,116
diese,6212,117
wollen,6212,118
gut,6003,119
EU,5980,120
kein,5868,121
viel,5840,122
beim,5773,123
waere,5725,124
weiter,5528,125
So,5481,126
brauchen,5409,127
Wie,5348,128
unsere,5334,129
Politik,5272,130
Da,5135,131
Heute,5124,132
sollte,5063,133
u,4913,134
Demokratie,4897,135
the,4844,136
nichts,4828,137
CSU,4729,138
3,4714,139
macht,4666,140
wurde,4647,141
damit,4623,142
Mit,4623,143
endlich,4611,144
alles,4579,145
bin,4570,146
a,4550,147
FDP,4547,148
Merkel,4546,149
ihr,4500,150
gerade,4491,151
Jahren,4486,152
ohne,4458,153
dazu,4440,154
Zeit,4395,155
viele,4359,156
Frage,4338,157
ihre,4307,158
Auch,4286,159
dafuer,4284,160
ganz,4254,161
vom,4219,162
Ja,4184,163
weil,4151,164
Europa,4102,165
dieser,4095,166
Land,4070,167
darf,4058,168
denn,4040,169
bis,4037,170
einfach,4023,171
Fuer,4021,172
soll,4016,173
unter,3916,174
seit,3889,175
Eine,3889,176
tun,3886,177
ab,3862,178
selbst,3851,179
Jetzt,3770,180
kommt,3756,181
Glueckwunsch,3711,182
nun,3702,183
meine,3672,184
GroKo,3630,185
neue,3620,186
statt,3613,187
Thema,3597,188
innen,3560,189
braucht,3511,190
steht,3488,191
andere,3481,192
Hier,3474,193
Klimaschutz,3416,194
anderen,3374,195
Im,3354,196
Partei,3336,197
wuerde,3333,198
etwas,3329,199
to,3312,200
5,3305,201
Gruenen,3275,202
ob,3273,203
Jahr,3266,204
Nein,3218,205
Tag,3209,206
Ihr,3201,207
Regierung,3193,208
Jahre,3182,209
gar,3148,210
gute,3136,211
Union,3128,212
klar,3124,213
Recht,3116,214
lassen,3077,215
zeigt,3055,216
besser,3024,217
sagen,2994,218
Dank,2968,219
nan,2956,220
Bei,2950,221
sollten,2947,222
dabei,2936,223
wohl,2933,224
Ende,2922,225
seine,2920,226
Ist,2917,227
Ihnen,2913,228
eigentlich,2911,229
of,2906,230
kommen,2901,231
Arbeit,2886,232
Euro,2886,233
via,2886,234
Warum,2872,235
unserer,2856,236
Nicht,2854,237
Debatte,2810,238
sagt,2808,239
leider,2807,240
allen,2795,241
Er,2795,242
richtig,2783,243
Kinder,2768,244
Du,2767,245
genau,2766,246
Zukunft,2745,247
gerne,2727,248
gemacht,2699,249
Gute,2695,250
wirklich,2694,251
TL,2691,252
Uhr,2682,253
gehen,2676,254
haette,2656,255
geben,2649,256
wo,2638,257
Problem,2638,258
Wirecard,2637,259
Nur,2629,260
eines,2603,261
Gruene,2575,262
also,2569,263
erst,2567,264
4,2553,265
unser,2542,266
Frauen,2542,267
bleibt,2538,268
Man,2537,269
Rede,2531,270
duerfen,2521,271
diesem,2520,272
Frau,2496,273
Mein,2458,274
Freiheit,2455,275
bleiben,2422,276
diesen,2419,277
sehen,2412,278
Gesellschaft,2401,279
wer,2391,280
Trump,2384,281
Diese,2380,282
stehen,2379,283
Herr,2366,284
keinen,2365,285
Geld,2341,286
waren,2338,287
Herzlichen,2334,288
Auf,2333,289
warum,2331,290
000,2327,291
Meine,2327,292
USA,2313,293
Welt,2309,294
Seehofer,2303,295
allem,2300,296
ins,2295,297
Weg,2289,298
Fragen,2289,299
10,2273,300
vielen,2247,301
wegen,2240,302
nie,2236,303
wissen,2226,304
and,2222,305
letzten,2221,306
eben,2205,307
Wahl,2199,308
Dann,2197,309
neuen,2196,310
meiner,2188,311
Polizei,2175,312
natuerlich,2165,313
lange,2164,314
dieses,2157,315
Verantwortung,2155,316
Krise,2150,317
Nach,2134,318
Thueringen,2110,319
ihren,2101,320
Buerger,2079,321
lieber,2077,322
bitte,2062,323
hatte,2060,324
Ihre,2053,325
weniger,2046,326
Dass,2027,327
wenig,2022,328
gilt,2021,329
Antwort,2013,330
uebrigens,1997,331
meinen,1992,332
einmal,1991,333
wurden,1989,334
koennte,1975,335
zwischen,1972,336
ihn,1968,337
Deshalb,1967,338
sicher,1961,339
Meinung,1952,340
Leben,1949,341
Sehr,1944,342
Tweet,1940,343
ihrer,1938,344
CL,1936,345
Fall,1930,346
gehoert,1927,347
Woche,1923,348
Gut,1921,349
Antrag,1919,350
mein,1918,351
wichtig,1905,352
weiss,1875,353
Also,1870,354
heisst,1869,355
is,1864,356
Pandemie,1854,357
anders,1851,358
moeglich,1843,359
Staat,1841,360
finde,1839,361
Interview,1836,362
Wirtschaft,1814,363
jeder,1805,364
falsch,1805,365
Kritik,1789,366
Parlament,1782,367
halten,1779,368
sei,1776,369
Alles,1760,370
Unternehmen,1756,371
davon,1755,372
30,1751,373
bereits,1751,374
Massnahmen,1740,375
sollen,1739,376
seiner,1736,377
Gewalt,1719,378
Linke,1717,379
Oder,1714,380
Wo,1708,381
gemeinsam,1705,382
deutlich,1702,383
for,1701,384
fordern,1699,385
Erfolg,1694,386
19,1689,387
unseren,1682,388
zusammen,1669,389
Millionen,1665,390
Genau,1659,391
stellen,1658,392
Mehr,1655,393
aller,1645,394
morgen,1640,395
dort,1639,396
gleich,1637,397
AfDwirkt,1637,398
Am,1636,399
freue,1629,400
sieht,1629,401
Brandner,1626,402
zwei,1624,403
nehmen,1622,404
Abend,1620,405
Solidaritaet,1614,406
deutschen,1602,407
voellig,1600,408
Schutz,1597,409
reden,1596,410
Leute,1590,411
20,1589,412
denen,1589,413
gesagt,1581,414
Morgen,1576,415
Tuerkei,1572,416
NRW,1570,417
Teil,1569,418
politische,1567,419
Entscheidung,1563,420
China,1563,421
meinem,1562,422
CO2,1556,423
grosse,1555,424
Artikel,1552,425
Mal,1547,426
Als,1544,427
liebe,1542,428
jeden,1533,429
Bayern,1532,430
eigenen,1530,431
finden,1529,432
2020,1527,433
laesst,1523,434
liegt,1514,435
sogar,1509,436
offenbar,1506,437
Bund,1503,438
Unterstuetzung,1490,439
6,1488,440
daran,1488,441
Sicherheit,1488,442
deutsche,1484,443
gestern,1483,444
darauf,1480,445
Euch,1479,446
Vorschlag,1479,447
gab,1475,448
Rassismus,1474,449
Ergebnis,1472,450
Erdogan,1472,451
schnell,1470,452
stimmt,1470,453
zurueck,1467,454
d,1465,455
Von,1462,456
I,1449,457
politischen,1444,458
Mann,1438,459
lesen,1435,460
Keine,1434,461
Zeiten,1433,462
fast,1432,463
darueber,1431,464
Gesetz,1431,465
Denn,1427,466
Mehrheit,1418,467
15,1417,468
Parteien,1411,469
100,1410,470
zeigen,1405,471
Hass,1402,472
Bin,1400,473
Fraktion,1384,474
findet,1379,475
2019,1379,476
eher,1379,477
Liebe,1377,478
Deutschen,1368,479
7,1365,480
Laender,1360,481
Klima,1358,482
dringend,1353,483
ganze,1351,484
deshalb,1343,485
TK,1341,486
unserem,1339,487
Koalition,1338,488
Anfrage,1336,489
Twitter,1326,490
Politiker,1325,491
moechte,1323,492
Na,1321,493
Kampf,1320,494
Stimmt,1320,495
setzen,1318,496
bekommen,1317,497
Bundeswehr,1317,498
US,1316,499
Mio,1313,500
Alle,1311,501
oft,1310,502
Weil,1310,503
Opfer,1308,504
Einsatz,1303,505
Schulen,1300,506
fordert,1300,507
Den,1300,508
seinen,1298,509
Scholz,1298,510
Respekt,1296,511
Sache,1296,512
Gespraech,1286,513
naechsten,1285,514
grossen,1281,515
schaffen,1274,516
wuensche,1274,517
ihm,1274,518
wuerden,1273,519
dies,1273,520
Diskussion,1271,521
darum,1270,522
Unsere,1267,523
stellt,1266,524
Grundgesetz,1265,525
soziale,1263,526
bisher,1261,527
klare,1259,528
Probleme,1257,529
Bitte,1254,530
Vor,1248,531
Dir,1248,532
Digitalisierung,1244,533
Bildung,1241,534
etc,1238,535
Lage,1236,536
Vielen,1236,537
Dafuer,1228,538
Klimakrise,1228,539
Zum,1222,540
Zu,1220,541
euch,1211,542
gegenueber,1206,543
leben,1204,544
weitere,1204,545
Investitionen,1204,546
werde,1200,547
du,1200,548
waehlen,1197,549
jede,1197,550
Beispiel,1195,551
solche,1194,552
Aus,1191,553
Damit,1190,554
besonders,1189,555
arbeiten,1189,556
sprechen,1187,557
los,1185,558
sonst,1184,559
Russland,1176,560
schoen,1173,561
9,1166,562
Wochen,1164,563
Wahlkampf,1163,564
nix,1160,565
Rechtsstaat,1154,566
Kein,1153,567
Loesung,1153,568
schuetzen,1151,569
Kollegen,1147,570
jemand,1142,571
recht,1141,572
12,1140,573
Gerade,1137,574
Ziel,1136,575
Ort,1136,576
Leider,1130,577
helfen,1128,578
paar,1128,579
Seit,1127,580
Co,1126,581
Themen,1124,582
haetten,1121,583
Seite,1119,584
Stadt,1117,585
nurnochAfD,1117,586
Geschichte,1116,587
zB,1114,588
zwar,1112,589
Doch,1111,590
Mrd,1106,591
weg,1106,592
Maassen,1106,593
Berliner,1097,594
guten,1096,595
dagegen,1092,596
2018,1092,597
Vertrauen,1091,598
8,1090,599
Noch,1090,600
Ach,1090,601
Scheuer,1088,602
Vielleicht,1087,603
genug,1085,604
Aufklaerung,1085,605
on,1085,606
Minister,1084,607
kaum,1083,608
diskutieren,1083,609
sofort,1082,610
50,1080,611
Milliarden,1079,612
Prozent,1079,613
Fehler,1077,614
all,1077,615
Habe,1077,616
Antisemitismus,1076,617
fuehren,1075,618
vielleicht,1074,619
bringen,1073,620
welche,1072,621
Menschenrechte,1072,622
hilft,1071,623
Medien,1070,624
niemand,1070,625
Deutsche,1069,626
trotzdem,1065,627
stark,1061,628
Grund,1060,629
Brexit,1059,630
politisch,1055,631
Ueber,1055,632
ernst,1054,633
ging,1054,634
halt,1054,635
Mitte,1053,636
Kraft,1053,637
Gera,1053,638
Beitrag,1052,639
ersten,1051,640
Opposition,1047,641
Blick,1046,642
Um,1045,643
18,1045,644
deren,1044,645
Statt,1042,646
ueberhaupt,1042,647
weder,1039,648
Regeln,1038,649
erste,1038,650
Wort,1036,651
Coronakrise,1034,652
waehrend,1028,653
Lieber,1027,654
weit,1027,655
aendern,1027,656
daher,1025,657
gewaehlt,1024,658
0,1023,659
B,1022,660
Linken,1019,661
Zusammenarbeit,1019,662
Hat,1018,663
Idee,1018,664
Soeder,1017,665
Dazu,1017,666
ihnen,1016,667
gewesen,1016,668
Kann,1015,669
Aufgabe,1013,670
Video,1013,671
11,1010,672
D,1010,673
Macht,1009,674
Platz,1007,675
haelt,1007,676
Kosten,1007,677
Sachsen,1006,678
Ob,1004,679
tut,1000,680
Schritt,999,681
2021,995,682
ihrem,995,683
Angst,995,684
hin,994,685
vergessen,994,686
Art,993,687
setzt,991,688
Hetze,984,689
Kanzlerin,980,690
entscheiden,971,691
it,971,692
Verfassungsschutz,970,693
Unser,969,694
bald,967,695
Freue,966,696
Syrien,962,697
Tage,957,698
Druck,957,699
drei,956,700
Altparteien,956,701
Viele,954,702
Gegenteil,952,703
erklaert,952,704
Viel,952,705
verhindern,951,706
egal,949,707
wichtiger,948,708
Zahlen,948,709
wollte,947,710
hatten,946,711
Bild,944,712
spricht,941,713
Natuerlich,941,714
eigene,940,715
