token,count,rank
user,375508,1
die,136506,2
der,127647,3
und,117466,4
in,81766,5
ist,76390,6
nicht,66456,7
fuer,60964,8
zu,54851,9
das,53652,10
von,48130,11
den,46127,12
mit,45518,13
es,39494,14
auch,36588,15
auf,34782,16
im,34774,17
Die,33924,18
ein,33513,19
eine,30361,20
ich,30239,21
sich,29505,22
dass,29003,23
wir,28606,24
Das,27624,25
hat,25000,26
an,24477,27
amp,23803,28
bei,23487,29
sind,23384,30
Sie,22188,31
des,21065,32
als,20579,33
werden,20554,34
dem,20468,35
Ich,20417,36
haben,19791,37
wird,18368,38
noch,18273,39
so,18188,40
aber,18135,41
Wir,17989,42
wie,17907,43
aus,17045,44
um,16971,45
nur,16514,46
sie,16152,47
Es,15552,48
mehr,15395,49
ueber,15323,50
muss,15291,51
man,15095,52
Und,13619,53
Der,13441,54
zum,13232,55
vor,12795,56
einen,12642,57
zur,12417,58
gegen,12168,59
nach,12095,60
uns,12020,61
kann,11970,62
wenn,11609,63
was,11448,64
geht,11410,65
jetzt,11389,66
oder,11355,67
Bundestag,11037,68
sein,10931,69
mal,10752,70
war,10672,71
ja,10654,72
schon,10306,73
TB,10174,74
mich,10123,75
keine,9983,76
muessen,9750,77
heute,9671,78
Menschen,9584,79
Aber,9381,80
gibt,9365,81
einer,9247,82
dann,9147,83
er,9121,84
Deutschland,9072,85
alle,8765,86
Danke,8652,87
immer,8644,88
am,8577,89
hier,8285,90
wieder,8122,91
2,8002,92
SPD,7993,93
Was,7856,94
da,7848,95
Wenn,7512,96
doch,7493,97
habe,7269,98
koennen,7266,99
1,7242,100
mir,7229,101
Berlin,7022,102
durch,6969,103
sehr,6963,104
Bundesregierung,6913,105
will,6894,106
s,6831,107
machen,6798,108
In,6770,109
sondern,6618,110
einem,6538,111
Wer,6328,112
Corona,6272,113
Ein,6244,114
diese,6212,115
wollen,6212,116
gut,6003,117
EU,5980,118
kein,5868,119
viel,5840,120
beim,5773,121
waere,5725,122
weiter,5528,123
So,5481,124
brauchen,5409,125
Wie,5348,126
unsere,5334,127
Politik,5272,128
Da,5135,129
Heute,5124,130
sollte,5063,131
u,4913,132
Demokratie,4897,133
the,4844,134
nichts,4828,135
3,4714,136
macht,4666,137
wurde,4647,138
damit,4623,139
Mit,4623,140
endlich,4611,141
alles,4579,142
bin,4570,143
a,4550,144
Merkel,4546,145
ihr,4500,146
gerade,4491,147
Jahren,4486,148
ohne,4458,149
dazu,4440,150
Zeit,4395,151
viele,4359,152
Frage,4338,153
ihre,4307,154
Auch,4286,155
dafuer,4284,156
ganz,4254,157
vom,4219,158
Ja,4184,159
weil,4151,160
Europa,4102,161
dieser,4095,162
Land,4070,163
darf,4058,164
denn,4040,165
bis,4037,166
einfach,4023,167
Fuer,4021,168
soll,4016,169
unter,3916,170
seit,3889,171
Eine,3889,172
tun,3886,173
ab,3862,174
selbst,3851,175
Jetzt,3770,176
kommt,3756,177
Glueckwunsch,3711,178
nun,3702,179
meine,3672,180
GroKo,3630,181
neue,3620,182
statt,3613,183
Thema,3597,184
innen,3560,185
braucht,3511,186
steht,3488,187
andere,3481,188
Hier,3474,189
Klimaschutz,3416,190
anderen,3374,191
Im,3354,192
Partei,3336,193
wuerde,3333,194
etwas,3329,195
to,3312,196
5,3305,197
Gruenen,3275,198
ob,3273,199
Jahr,3266,200
Nein,3218,201
Tag,3209,202
Ihr,3201,203
Regierung,3193,204
Jahre,3182,205
gar,3148,206
gute,3136,207
Union,3128,208
klar,3124,209
Recht,3116,210
lassen,3077,211
zeigt,3055,212
besser,3024,213
sagen,2994,214
Dank,2968,215
nan,2956,216
Bei,2950,217
sollten,2947,218
dabei,2936,219
wohl,2933,220
Ende,2922,221
seine,2920,222
Ist,2917,223
Ihnen,2913,224
eigentlich,2911,225
of,2906,226
kommen,2901,227
Arbeit,2886,228
Euro,2886,229
via,2886,230
Warum,2872,231
unserer,2856,232
Nicht,2854,233
Debatte,2810,234
sagt,2808,235
leider,2807,236
allen,2795,237
Er,2795,238
richtig,2783,239
Kinder,2768,240
Du,2767,241
genau,2766,242
Zukunft,2745,243
gerne,2727,244
gemacht,2699,245
Gute,2695,246
wirklich,2694,247
TL,2691,248
Uhr,2682,249
gehen,2676,250
haette,2656,251
geben,2649,252
wo,2638,253
Problem,2638,254
Wirecard,2637,255
Nur,2629,256
eines,2603,257
also,2569,258
erst,2567,259
4,2553,260
unser,2542,261
Frauen,2542,262
bleibt,2538,263
Man,2537,264
Rede,2531,265
duerfen,2521,266
diesem,2520,267
Frau,2496,268
Mein,2458,269
Freiheit,2455,270
bleiben,2422,271
diesen,2419,272
sehen,2412,273
Gesellschaft,2401,274
wer,2391,275
Trump,2384,276
Diese,2380,277
stehen,2379,278
Herr,2366,279
keinen,2365,280
Geld,2341,281
waren,2338,282
Herzlichen,2334,283
Auf,2333,284
warum,2331,285
000,2327,286
Meine,2327,287
USA,2313,288
Welt,2309,289
Seehofer,2303,290
allem,2300,291
ins,2295,292
Weg,2289,293
Fragen,2289,294
10,2273,295
vielen,2247,296
wegen,2240,297
nie,2236,298
wissen,2226,299
and,2222,300
letzten,2221,301
eben,2205,302
Wahl,2199,303
Dann,2197,304
neuen,2196,305
meiner,2188,306
Polizei,2175,307
natuerlich,2165,308
lange,2164,309
dieses,2157,310
Verantwortung,2155,311
Krise,2150,312
Nach,2134,313
Thueringen,2110,314
ihren,2101,315
Buerger,2079,316
lieber,2077,317
bitte,2062,318
hatte,2060,319
Ihre,2053,320
weniger,2046,321
Dass,2027,322
wenig,2022,323
gilt,2021,324
Antwort,2013,325
uebrigens,1997,326
meinen,1992,327
einmal,1991,328
wurden,1989,329
koennte,1975,330
zwischen,1972,331
ihn,1968,332
Deshalb,1967,333
sicher,1961,334
Meinung,1952,335
Leben,1949,336
Sehr,1944,337
Tweet,1940,338
ihrer,1938,339
CL,1936,340
Fall,1930,341
gehoert,1927,342
Woche,1923,343
Gut,1921,344
Antrag,1919,345
mein,1918,346
wichtig,1905,347
weiss,1875,348
Also,1870,349
heisst,1869,350
is,1864,351
Pandemie,1854,352
anders,1851,353
moeglich,1843,354
Staat,1841,355
finde,1839,356
Interview,1836,357
Wirtschaft,1814,358
jeder,1805,359
falsch,1805,360
Kritik,1789,361
Parlament,1782,362
halten,1779,363
sei,1776,364
Alles,1760,365
Unternehmen,1756,366
davon,1755,367
30,1751,368
bereits,1751,369
Massnahmen,1740,370
sollen,1739,371
seiner,1736,372
Gewalt,1719,373
Oder,1714,374
Wo,1708,375
gemeinsam,1705,376
deutlich,1702,377
for,1701,378
fordern,1699,379
Erfolg,1694,380
19,1689,381
unseren,1682,382
zusammen,1669,383
Millionen,1665,384
Genau,1659,385
stellen,1658,386
Mehr,1655,387
aller,1645,388
morgen,1640,389
dort,1639,390
gleich,1637,391
AfDwirkt,1637,392
Am,1636,393
freue,1629,394
sieht,1629,395
Brandner,1626,396
zwei,1624,397
nehmen,1622,398
Abend,1620,399
Solidaritaet,1614,400
deutschen,1602,401
voellig,1600,402
Schutz,1597,403
reden,1596,404
Leute,1590,405
20,1589,406
denen,1589,407
gesagt,1581,408
Morgen,1576,409
Tuerkei,1572,410
NRW,1570,411
Teil,1569,412
politische,1567,413
Entscheidung,1563,414
China,1563,415
meinem,1562,416
CO2,1556,417
grosse,1555,418
Artikel,1552,419
Mal,1547,420
Als,1544,421
liebe,1542,422
jeden,1533,423
Bayern,1532,424
eigenen,1530,425
finden,1529,426
2020,1527,427
laesst,1523,428
liegt,1514,429
sogar,1509,430
offenbar,1506,431
Bund,1503,432
Unterstuetzung,1490,433
6,1488,434
daran,1488,435
Sicherheit,1488,436
deutsche,1484,437
gestern,1483,438
darauf,1480,439
Euch,1479,440
Vorschlag,1479,441
gab,1475,442
Rassismus,1474,443
Ergebnis,1472,444
Erdogan,1472,445
schnell,1470,446
stimmt,1470,447
zurueck,1467,448
d,1465,449
Von,1462,450
I,1449,451
politischen,1444,452
Mann,1438,453
lesen,1435,454
Keine,1434,455
Zeiten,1433,456
fast,1432,457
darueber,1431,458
Gesetz,1431,459
Denn,1427,460
Mehrheit,1418,461
15,1417,462
Parteien,1411,463
100,1410,464
zeigen,1405,465
Hass,1402,466
Bin,1400,467
Fraktion,1384,468
findet,1379,469
2019,1379,470
eher,1379,471
Liebe,1377,472
Deutschen,1368,473
7,1365,474
Laender,1360,475
Klima,1358,476
dringend,1353,477
ganze,1351,478
deshalb,1343,479
TK,1341,480
unserem,1339,481
Koalition,1338,482
Anfrage,1336,483
Twitter,1326,484
Politiker,1325,485
moechte,1323,486
Na,1321,487
Kampf,1320,488
Stimmt,1320,489
setzen,1318,490
bekommen,1317,491
Bundeswehr,1317,492
US,1316,493
Mio,1313,494
Alle,1311,495
oft,1310,496
Weil,1310,497
Opfer,1308,498
Einsatz,1303,499
Schulen,1300,500
fordert,1300,501
Den,1300,502
seinen,1298,503
Scholz,1298,504
Respekt,1296,505
Sache,1296,506
Gespraech,1286,507
naechsten,1285,508
grossen,1281,509
schaffen,1274,510
wuensche,1274,511
ihm,1274,512
wuerden,1273,513
dies,1273,514
Diskussion,1271,515
darum,1270,516
Unsere,1267,517
stellt,1266,518
Grundgesetz,1265,519
soziale,1263,520
bisher,1261,521
klare,1259,522
Probleme,1257,523
Bitte,1254,524
Vor,1248,525
Dir,1248,526
Digitalisierung,1244,527
Bildung,1241,528
etc,1238,529
Lage,1236,530
Vielen,1236,531
Dafuer,1228,532
Klimakrise,1228,533
Zum,1222,534
Zu,1220,535
euch,1211,536
gegenueber,1206,537
leben,1204,538
weitere,1204,539
Investitionen,1204,540
werde,1200,541
du,1200,542
waehlen,1197,543
jede,1197,544
Beispiel,1195,545
solche,1194,546
Aus,1191,547
Damit,1190,548
besonders,1189,549
arbeiten,1189,550
sprechen,1187,551
los,1185,552
sonst,1184,553
Russland,1176,554
schoen,1173,555
9,1166,556
Wochen,1164,557
Wahlkampf,1163,558
nix,1160,559
Rechtsstaat,1154,560
Kein,1153,561
Loesung,1153,562
schuetzen,1151,563
Kollegen,1147,564
jemand,1142,565
recht,1141,566
12,1140,567
Gerade,1137,568
Ziel,1136,569
Ort,1136,570
Leider,1130,571
helfen,1128,572
paar,1128,573
Seit,1127,574
Co,1126,575
Themen,1124,576
haetten,1121,577
Seite,1119,578
Stadt,1117,579
nurnochAfD,1117,580
Geschichte,1116,581
zB,1114,582
zwar,1112,583
Doch,1111,584
Mrd,1106,585
weg,1106,586
Maassen,1106,587
Berliner,1097,588
guten,1096,589
dagegen,1092,590
2018,1092,591
Vertrauen,1091,592
8,1090,593
Noch,1090,594
Ach,1090,595
Scheuer,1088,596
Vielleicht,1087,597
genug,1085,598
Aufklaerung,1085,599
on,1085,600
Minister,1084,601
kaum,1083,602
diskutieren,1083,603
sofort,1082,604
50,1080,605
Milliarden,1079,606
Prozent,1079,607
Fehler,1077,608
all,1077,609
Habe,1077,610
Antisemitismus,1076,611
fuehren,1075,612
vielleicht,1074,613
bringen,1073,614
welche,1072,615
Menschenrechte,1072,616
hilft,1071,617
Medien,1070,618
niemand,1070,619
Deutsche,1069,620
trotzdem,1065,621
stark,1061,622
Grund,1060,623
Brexit,1059,624
politisch,1055,625
Ueber,1055,626
ernst,1054,627
ging,1054,628
halt,1054,629
Mitte,1053,630
Kraft,1053,631
Gera,1053,632
Beitrag,1052,633
ersten,1051,634
Opposition,1047,635
Blick,1046,636
Um,1045,637
18,1045,638
deren,1044,639
Statt,1042,640
ueberhaupt,1042,641
weder,1039,642
Regeln,1038,643
erste,1038,644
Wort,1036,645
Coronakrise,1034,646
waehrend,1028,647
Lieber,1027,648
weit,1027,649
aendern,1027,650
daher,1025,651
gewaehlt,1024,652
0,1023,653
B,1022,654
Linken,1019,655
Zusammenarbeit,1019,656
Hat,1018,657
Idee,1018,658
Soeder,1017,659
Dazu,1017,660
ihnen,1016,661
gewesen,1016,662
Kann,1015,663
Aufgabe,1013,664
Video,1013,665
11,1010,666
D,1010,667
Macht,1009,668
Platz,1007,669
haelt,1007,670
Kosten,1007,671
Sachsen,1006,672
Ob,1004,673
tut,1000,674
Schritt,999,675
2021,995,676
ihrem,995,677
Angst,995,678
hin,994,679
vergessen,994,680
Art,993,681
setzt,991,682
Hetze,984,683
Kanzlerin,980,684
entscheiden,971,685
it,971,686
Verfassungsschutz,970,687
Unser,969,688
bald,967,689
Freue,966,690
Syrien,962,691
Tage,957,692
Druck,957,693
drei,956,694
Altparteien,956,695
Viele,954,696
Gegenteil,952,697
erklaert,952,698
Viel,952,699
verhindern,951,700
egal,949,701
wichtiger,948,702
Zahlen,948,703
wollte,947,704
hatten,946,705
Bild,944,706
spricht,941,707
Natuerlich,941,708
eigene,940,709
Familien,938,710
Geht,933,711
noetig,933,712
Ohne,928,713
sowie,927,714
Zeichen,926,715
